departement,item_url,name,gender,breed,image_url,species
76,https://la-spa.fr/adopter-animaux/adopter-chien-croise-berger-m-courage-204149,Courage,male,croisé berger,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204149.jpg?itok=53SRse1d,un chien
83,https://la-spa.fr/adopter-animaux/adopter-chien-springer-spagniel-m-chuck-204209,Chuck,male,springer spagniel,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204209.jpg?itok=A56Ji-0X,un chien
19,https://la-spa.fr/adopter-animaux/adopter-chats-europeen-f-gaika-204205,Gaïka,femelle,européen,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204205.jpg?itok=Uyzdahfg,une chatte
11,https://la-spa.fr/adopter-animaux/adopter-chien-croise-berger-m-phoenix-204213,Phoenix,male,croisé berger,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204213.jpg?itok=ho8CL7Tg,un chien
41,https://la-spa.fr/adopter-animaux/adopter-chien-berger-m-malou-ok-chats-204195,Malou,male,berger,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/dsc_0169_-_copie_1600x1200_1.jpg?itok=y87LvJCz,un chien
19,https://la-spa.fr/adopter-animaux/adopter-chien-berger-m-hypso-204181,Hypso,male,berger,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204181.jpg?itok=Ru5mVDFl,un chien
02,https://la-spa.fr/adopter-animaux/adopter-chien-labrador-f-isis-204200,Isis,femelle,labrador,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204200.jpg?itok=FaqCuWQU,une chienne
02,https://la-spa.fr/adopter-animaux/adopter-chien-dalmatien-m-dalko-204211,Dalko,male,dalmatien,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204211.jpg?itok=UDlNZeG3,un chien
62,https://la-spa.fr/adopter-animaux/adopter-chien-berger-boxer-croise-m-igor-204193,Igor,male,berger boxer croisé,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204193.jpg?itok=8vAaweWL,un chien
19,https://la-spa.fr/adopter-animaux/adopter-chien-griffon-m-duck-204170,Duck,male,griffon,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204170.jpg?itok=Qd0rJjhX,un chien
85,https://la-spa.fr/adopter-animaux/adopter-chien-croise-berger-m-cash-sauvetage-204161,Cash,male,croisé berger,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204161.jpg?itok=P7VZL2-a,un chien
29,https://la-spa.fr/adopter-animaux/adopter-chats-europeen-f-gaya-204179,Gaya,femelle,européen,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204179.jpg?itok=-LExj9jZ,une chatte
02,https://la-spa.fr/adopter-animaux/adopter-chien-croise-beauceron-m-goliath-204165,Goliath,male,croisé beauceron,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204165.jpg?itok=j7aKLpaZ,un chien
19,https://la-spa.fr/adopter-animaux/adopter-chien-berger-f-cora-204160,Cora,femelle,berger,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/animals/204160.jpg?itok=_ZH1LYvp,une chienne
29,https://la-spa.fr/adopter-animaux/adopter-chats-europeen-f-organza-257837,Organza,femelle,européen,https://la-spa.fr/sites/default/files/styles/fiche_animal_620x375/public/dscn0329.jpg?itok=z3YsPFfF,une chatte
